SKU,SALDO,ACESSORIO,DATA,IDMARCA,MARCA,PRAZO,DATAS
"('314',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",27/09/2022
"('1292',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/11/2022
"('1487',)","(500.0,)","(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1488',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1533',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1656',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('2676',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('5001',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1462',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('<100m',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",notfound
"('1464',)","(500.0,)","(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1611',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",27/09/2022
"('1666',)","(500.0,)","(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('851',)","(500.0,)","(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",27/09/2022
"('<100m',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/11/2022
"('877',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1848',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1849',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",notfound
"('1850',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1855',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1857',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1856',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('1861',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('3558',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('M3003',)",0,"(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('M3004',)",0,"(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('M3003',)",0,"(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('M3004',)",0,"(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('M0316',)",0,"(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('M0O37',)",0,"(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('M1574',)",0,"(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('M3044',)",0,"(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('M8005',)",0,"(100.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",19/08/2022
"('316',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('1291',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('1487',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('1659',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('1666',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('2676',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('QSMR253',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('QSMR254',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('QSMR255',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('OQSMR256',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('QSVP409',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('QsvP411',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('QSsvP412',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('QSVP402',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('QsvP403',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('QSVP407',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('QSVP408',)","(500.0,)",0,"('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",31/08/2022
"('</500m',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",notfound
"('3677',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('3680',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('3785',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('5001',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('8005',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
"('ACSM1564',)","(0.0,)","(0.0,)","('2022-08-17 10:49',)","('43',)","('QuickStep',)","(90.0,)",17/08/2022
